iter	Passed	Remaining
0	354	354596
1	543	271135
2	735	244415
3	939	233820
4	1118	222568
5	1360	225430
6	1536	217895
7	1702	211167
8	1884	207533
9	2062	204201
10	2259	203148
11	2412	198592
12	2599	197326
13	2785	196154
14	2969	194997
15	3130	192502
16	3304	191094
17	3451	188294
18	3611	186478
19	3755	184017
20	3911	182330
21	4073	181087
22	4233	179835
23	4394	178706
24	4548	177386
25	4723	176953
26	4902	176681
27	5063	175784
28	5220	174798
29	5362	173396
30	5517	172480
31	5657	171138
32	5830	170853
33	5973	169703
34	6145	169440
35	6298	168651
36	6441	167647
37	6589	166812
38	6785	167211
39	6945	166683
40	7120	166557
41	7292	166333
42	7449	165785
43	7602	165190
44	7778	165068
45	7925	164364
46	8072	163678
47	8216	162965
48	8378	162605
49	8527	162021
50	8677	161469
51	8832	161028
52	8998	160775
53	9142	160160
54	9333	160362
55	9500	160155
56	9671	160007
57	9822	159537
58	9978	159144
59	10161	159192
60	10326	158961
61	10488	158678
62	10691	159010
63	10877	159077
64	11051	158964
65	11227	158879
66	11411	158909
67	11602	159023
68	11768	158791
69	11925	158442
70	12159	159098
71	12351	159190
72	12502	158762
73	12683	158712
74	12846	158440
75	13007	158148
76	13159	157740
77	13330	157569
78	13496	157349
79	13665	157155
80	13841	157043
81	14008	156825
82	14159	156435
83	14309	156047
84	14477	155843
85	14659	155803
86	14815	155476
87	14993	155385
88	15139	154972
89	15305	154752
90	15455	154388
91	15600	153972
92	15763	153739
93	15910	153354
94	16121	153582
95	16328	153756
96	16490	153511
97	16643	153186
98	16818	153060
99	16985	152870
100	17159	152737
101	17304	152345
102	17465	152100
103	17604	151672
104	17742	151235
105	17880	150800
106	18051	150656
107	18244	150689
108	18409	150483
109	18579	150328
110	18761	150263
111	18902	149872
112	19068	149678
113	19217	149353
114	19367	149048
115	19539	148902
116	19679	148518
117	19838	148283
118	19993	148020
119	20152	147781
120	20319	147609
121	20468	147306
122	20605	146920
123	20740	146518
124	20873	146117
125	21029	145872
126	21249	146067
127	21413	145878
128	21596	145818
129	21776	145735
130	21960	145674
131	22186	145891
132	22365	145796
133	22532	145623
134	22705	145481
135	22895	145454
136	23099	145511
137	23284	145445
138	23465	145349
139	23649	145277
140	23838	145226
141	24119	145737
142	24287	145554
143	24477	145506
144	24627	145218
145	24849	145354
146	25039	145299
147	25231	145249
148	25420	145184
149	25613	145142
150	25836	145265
151	26050	145332
152	26265	145406
153	26437	145236
154	26622	145133
155	26834	145179
156	27023	145103
157	27202	144965
158	27372	144780
159	27537	144570
160	27717	144442
161	27924	144448
162	28086	144223
163	28240	143957
164	28392	143681
165	28576	143570
166	28760	143456
167	28923	143242
168	29073	142956
169	29248	142802
170	29444	142744
171	29621	142598
172	29825	142574
173	30032	142569
174	30215	142444
175	30424	142441
176	30614	142348
177	30779	142137
178	30943	141926
179	31114	141744
180	31335	141789
181	31514	141640
182	31692	141490
183	31869	141336
184	32039	141145
185	32229	141049
186	32408	140896
187	32616	140875
188	32821	140837
189	33032	140820
190	33205	140644
191	33379	140469
192	33554	140301
193	33735	140157
194	33931	140075
195	34145	140064
196	34308	139845
197	34551	139951
198	34740	139836
199	34966	139864
200	35171	139809
201	35351	139654
202	35595	139750
203	35788	139644
204	35986	139556
205	36166	139398
206	36353	139267
207	36545	139154
208	36747	139077
209	36939	138963
210	37135	138862
211	37323	138731
212	37504	138571
213	37703	138480
214	37888	138338
215	38066	138166
216	38295	138181
217	38499	138104
218	38718	138079
219	38996	138261
220	39230	138283
221	39459	138287
222	39696	138314
223	39940	138365
224	40191	138437
225	40405	138380
226	40559	138115
227	40733	137921
228	40895	137687
229	41078	137525
230	41281	137425
231	41455	137233
232	41656	137127
233	41837	136956
234	42011	136761
235	42197	136604
236	42369	136405
237	42564	136279
238	42764	136165
239	42932	135952
240	43119	135799
241	43305	135641
242	43465	135404
243	43636	135200
244	43807	135000
245	43973	134781
246	44217	134799
247	44408	134658
248	44551	134369
249	44690	134071
250	44837	133796
251	44979	133511
252	45146	133296
253	45296	133036
254	45461	132819
255	45607	132546
256	45757	132288
257	45923	132073
258	46090	131865
259	46244	131618
260	46403	131387
261	46555	131136
262	46754	131018
263	46919	130806
264	47081	130585
265	47238	130348
266	47393	130111
267	47604	130023
268	47749	129758
269	47908	129529
270	48059	129280
271	48225	129073
272	48369	128808
273	48522	128565
274	48671	128315
275	48823	128073
276	48980	127845
277	49173	127709
278	49334	127491
279	49529	127360
280	49663	127076
281	49819	126845
282	49960	126579
283	50103	126317
284	50255	126080
285	50407	125843
286	50555	125595
287	50685	125306
288	50830	125052
289	50990	124839
290	51155	124635
291	51283	124345
292	51424	124084
293	51555	123804
294	51695	123543
295	51827	123266
296	51962	122994
297	52093	122716
298	52239	122475
299	52379	122217
300	52550	122036
301	52681	121760
302	52848	121568
303	53005	121353
304	53131	121069
305	53248	120765
306	53386	120511
307	53521	120249
308	53653	119982
309	53788	119722
310	53918	119451
311	54090	119275
312	54222	119013
313	54376	118796
314	54515	118550
315	54661	118317
316	54799	118070
317	54929	117804
318	55074	117573
319	55208	117318
320	55351	117083
321	55491	116842
322	55638	116617
323	55780	116380
324	55901	116102
325	56050	115883
326	56182	115629
327	56316	115379
328	56454	115140
329	56596	114908
330	56729	114657
331	56859	114404
332	57020	114212
333	57174	114006
334	57318	113781
335	57441	113514
336	57606	113332
337	57750	113108
338	57874	112847
339	58005	112598
340	58151	112381
341	58282	112134
