,precision,recall,f1-score,support
Bangus,0.3218390804597701,0.8235294117647058,0.4628099173553719,34.0
Big Head Carp,0.6428571428571429,0.4186046511627907,0.5070422535211269,43.0
Black Spotted Barb,0.9047619047619048,0.475,0.6229508196721311,40.0
Catfish,0.625,0.5645161290322581,0.5932203389830509,62.0
Climbing Perch,0.21212121212121213,0.4666666666666667,0.29166666666666663,30.0
Fourfinger Threadfin,0.6,0.631578947368421,0.6153846153846154,38.0
Freshwater Eel,0.5789473684210527,0.4,0.4731182795698925,55.0
Glass Perchlet,0.8947368421052632,0.6623376623376623,0.7611940298507462,77.0
Goby,0.8064516129032258,0.4032258064516129,0.5376344086021505,124.0
Gold Fish,1.0,0.9512195121951219,0.975,41.0
Gourami,0.8939393939393939,0.9365079365079365,0.9147286821705426,63.0
Grass Carp,0.9866666666666667,0.6218487394957983,0.7628865979381443,238.0
Green Spotted Puffer,0.9444444444444444,0.7727272727272727,0.85,22.0
Indian Carp,0.40476190476190477,0.9622641509433962,0.5698324022346369,53.0
Indo-Pacific Tarpon,0.4603174603174603,0.7435897435897436,0.5686274509803921,39.0
Jaguar Gapote,0.9444444444444444,0.7727272727272727,0.85,44.0
Janitor Fish,0.6101694915254238,0.6206896551724138,0.6153846153846154,58.0
Knifefish,0.9574468085106383,0.6923076923076923,0.8035714285714286,65.0
Long-Snouted Pipefish,0.6842105263157895,0.5,0.5777777777777778,52.0
Mosquito Fish,0.7045454545454546,0.6078431372549019,0.6526315789473683,51.0
Mudfish,0.16666666666666666,0.5294117647058824,0.2535211267605634,34.0
Mullet,0.6176470588235294,0.5526315789473685,0.5833333333333334,38.0
Pangasius,0.8636363636363636,0.5,0.6333333333333333,38.0
Perch,0.8524590163934426,0.8666666666666667,0.8595041322314049,60.0
Scat Fish,0.7857142857142857,1.0,0.88,33.0
Silver Barb,0.851063829787234,0.625,0.7207207207207208,64.0
Silver Carp,0.9591836734693877,0.9791666666666666,0.9690721649484536,48.0
Silver Perch,0.36363636363636365,0.7017543859649122,0.4790419161676646,57.0
Snakehead,0.6086956521739131,0.2978723404255319,0.39999999999999997,47.0
Tenpounder,0.5813953488372093,0.44642857142857145,0.5050505050505051,56.0
Tilapia,0.525,0.75,0.6176470588235295,56.0
accuracy,0.6403409090909091,0.6403409090909091,0.6403409090909091,0.6403409090909091
macro avg,0.688798710265793,0.654068269758428,0.6421511662896827,1760.0
weighted avg,0.7370900462228857,0.6403409090909091,0.6583254140645424,1760.0
